WKT,neighborhood,intersection
"POINT (6279769.0 1841430.99999986)",columbia,State_Broadway
"POINT (6279780.0 1842558.99999987)",columbia,State_A
"POINT (6278929.0 1839874.99999984)",marina,Ketner_Market
"POINT (6278933.0 1840277.99999986)",marina,Ketner_G
"POINT (6278946.0 1841436.99999983)",columbia,Ketner_Broadway
"POINT (6278953.17300012 1842563.14399985)",columbia,Ketner_A
"POINT (6280315.0 1841426.99999984)",core_columbia,Front_Broadway
"POINT (6280318.0 1842176.99899985)",core_columbia,Front_B
"POINT (6282840.0 1843687.99999984)",cortez,9th_Cedar
"POINT (6282836.99999987 1842925.99999983)",cortez,9th_Ash
"POINT (6282272.0 1839874.99999986)",east_village,7th_Market
"POINT (6282272.0 1838342.99999983)",east_village,7th_L
"POINT (6282272.21743156 1837990.84746804)",east_village,7th_Imperial
"POINT (6282274.0 1841025.99999984)",east_village,7th_E
"POINT (6281990.0 1838723.99999983)",gaslamp,6th_K
"POINT (6281993.00000013 1841406.99999985)",gaslamp,6th_Broadway
"POINT (6281435.0 1838724.99999984)",gaslamp,4th_K
"POINT (6281433.0009999 1841407.99999986)",gaslamp,4th_Broadway
"POINT (6281156.999 1838723.99999984)",marina,3rd_K
"POINT (6281151.0 1840266.99999984)",marina,3rd_G
"POINT (6280598.99400006 1843695.21999986)",cortez,1st_Cedar
"POINT (6280594.0 1842941.99999986)",cortez,1st_Ash
"POINT (6284995.00099991 1839861.99999983)",east_village,16th_Market
"POINT (6284987.0 1837946.99999986)",east_village,16th_Imperial
"POINT (6284997.99899991 1841020.99999985)",east_village,16th_E
"POINT (6283395.99999989 1841402.99999985)",core_columbia,11th_Broadway
"POINT (6283399.60100012 1842164.96199983)",core_columbia,11th_B
