WKT,INTERID,X_COORD,Y_COORD,POSTID,POSTDATE,TYPE,PENDING,RuleID
"POINT (-117.16997204939 32.7208985337522)","95644",6278715.00000000000,1843325.00000000000,fjessie,2014-05-23,R,N,"1"
"POINT (-117.152997415953 32.7194133476824)","96037",6283931.00000000000,1842739.00000000000,fjessie,2016-06-03,R,N,"1"
"POINT (-117.150880879618 32.7194233282982)","96038",6284582.00000000000,1842737.00000000000,fjessie,2016-06-03,R,N,"1"
"POINT (-117.152938993444 32.7178361291858)","96407",6283943.99899999984,1842165.00000000000,fjessie,2016-06-03,R,N,"1"
"POINT (-117.150526672992 32.71785101758)","96408",6284686.00000000000,1842164.00000000000,fjessie,2016-06-03,R,N,"1"
"POINT (-117.16246555422 32.7147179149908)","97102",6281004.00000000000,1841056.00000000000,fjessie,2016-03-30,R,N,"1"
"POINT (-117.167937734687 32.7113241188102)","97898",6279310.00000000000,1839836.00000000000,fjessie,2016-03-30,R,N,"1"
"POINT (-117.164882193389 32.7095628040635)","98260",6280244.23400000017,1839186.91500000004,fjessie,2015-09-06,R,N,"1"
"POINT (-117.169422171916 32.7083941373558)","98512",6278844.00000000000,1838774.00000000000,rodonnell,2013-09-22,R,N,"1"
"POINT (-117.169671684333 32.7080047361838)","98627",6278766.00000000000,1838633.00000000000,rodonnell,2013-09-22,R,N,"1"
"POINT (-117.169455211805 32.7071982867654)","98801",6278830.00000000000,1838339.00000000000,rodonnell,2013-09-22,R,N,"1"
"POINT (-117.148546555031 32.7073194221824)","98812",6285262.00000000000,1838327.00000000000,fjessie,2019-05-17,R,N,"1"
"POINT (-117.160284734406 32.7071929561457)","98834",6281650.87200000044,1838312.30825000000,dcaponelli,2016-12-01,B,N,"1"
"POINT (-117.168700183333 32.7068081275737)","98875",6279061.00000000000,1838195.00000000000,rodonnell,2013-09-22,R,N,"1"
"POINT (-117.154823287518 32.7199161289166)","180812",6283371.01675000042,1842926.79700000002,fjessie,2016-06-03,B,,"1"
"POINT (-117.169964629094 32.7198761409186)","95906",6278714.00000000000,1842953.00000000000,fjessie,2014-05-23,T,N,"4"
"POINT (-117.169834834089 32.7145995672781)","97130",6278736.98300000001,1841032.85800000001,fjessie,2019-05-17,C,N,"6"
"POINT (-117.168427206104 32.7092484773733)","162555",6279152.79074999969,1839082.13950000005,rodonnell,2013-09-22,C,N,"6"
"POINT (-117.170068721021 32.7189136008045)","96141",6278678.89499999955,1842603.07899999991,fjessie,2016-03-30,E,N,"7"
"POINT (-117.171849058946 32.7188121373811)","96155",6278131.00000000000,1842571.00000000000,fjessie,2016-03-30,E,N,"7"
"POINT (-117.169784045565 32.7188104586551)","96167",6278766.12000000011,1842564.78000000003,adowling,2016-07-14,E,N,"7"
"POINT (-117.169935745669 32.7145990482389)","97129",6278705.94299999997,1841032.94299999997,fjessie,2019-05-17,E,N,"7"
"POINT (-117.163046374055 32.7139797630579)","97291",6280823.00000000000,1840789.00000000000,fjessie,2019-05-17,E,N,"7"
"POINT (-117.169684107121 32.7135826712174)","97386",6278780.08000000007,1840662.46900000004,fjessie,2019-05-17,E,N,"7"
"POINT (-117.169605490027 32.7135832052255)","97387",6278804.26300000027,1840662.44999999995,fjessie,2019-05-17,E,N,"7"
"POINT (-117.151148118005 32.7131245351101)","97533",6284480.00000000000,1840446.00000000000,fjessie,2019-01-16,E,N,"7"
"POINT (-117.168291035816 32.7121577245065)","97735",6279203.99899999984,1840140.25000000000,fjessie,2019-05-17,E,N,"7"
"POINT (-117.151142231743 32.7109587509301)","98017",6284475.00000000000,1839658.00000000000,fjessie,2019-01-31,E,N,"7"
"POINT (-117.161838611914 32.7073719011376)","98764",6281173.45999999996,1838381.59100000001,fjessie,2015-09-06,E,N,"7"
"POINT (-117.151116466201 32.7073227987504)","98803",6284471.49199999962,1838335.05099999998,fjessie,2016-12-02,E,N,"7"
"POINT (-117.160988281614 32.7064200784722)","98984",6281432.00000000000,1838033.00000000000,rodonnell,2013-09-22,E,N,"7"
"POINT (-117.159912952234 32.7063636307643)","98997",6281762.60099999979,1838009.57400000002,rodonnell,2013-09-22,E,N,"7"
"POINT (-117.159188126471 32.7061859972277)","99052",6281985.00000000000,1837943.00000000000,rodonnell,2013-09-22,E,N,"7"
"POINT (-117.171549395875 32.7178886378108)","151877",6278220.19600000046,1842234.18599999999,fjessie,2016-03-30,E,N,"7"
"POINT (-117.172077925386 32.7095831346501)","170329",6278030.91299999971,1839213.81025000010,rodonnell,2013-09-22,E,N,"7"
"POINT (-117.168288616942 32.7155307031727)","175617",6279215.55150000006,1841367.44350000005,fjessie,2019-05-17,E,N,"7"
"POINT (-117.172217432765 32.7167264000319)","176059",6278010.98900000006,1841813.14275000012,fjessie,2018-08-14,E,N,"7"
"POINT (-117.154643410359 32.7068392711567)","179858",6283385.05874999985,1838168.52249999996,fjessie,2016-12-02,E,N,"7"
"POINT (-117.161142826762 32.7226296730846)","95268",6281435.99899999984,1843931.00000000000,rodonnell,2013-09-22,Z,N,"8"
"POINT (-117.148735921847 32.7195868851242)","96001",6285242.22300000023,1842790.81400000001,fjessie,2015-05-12,Z,N,"8"
"POINT (-117.148364006471 32.7193922130014)","96060",6285356.00000000000,1842719.00000000000,adowling,2015-09-15,Z,N,"8"
"POINT (-117.148055149923 32.7193944622441)","96062",6285451.00000000000,1842719.00000000000,fjessie,2015-05-12,Z,N,"8"
"POINT (-117.154688470082 32.7146955041216)","97138",6283396.00000000000,1841027.00099999993,fjessie,2019-01-16,Z,N,"8"
"POINT (-117.152864632462 32.7147033694499)","97147",6283957.00000000000,1841025.00000000000,fjessie,2019-01-16,Z,N,"8"
"POINT (-117.155588005162 32.7136444647583)","97411",6283116.00000000000,1840647.00000000000,fjessie,2019-01-16,Z,N,"8"
"POINT (-117.154680973682 32.7136483730487)","97413",6283395.00000000000,1840646.00000000000,fjessie,2019-01-31,Z,N,"8"
"POINT (-117.153770691214 32.7136522984915)","97415",6283675.00000000000,1840645.00000000000,fjessie,2019-01-31,Z,N,"8"
"POINT (-117.152860436816 32.7136589655218)","97416",6283955.00000000000,1840645.00000000000,fjessie,2019-01-31,Z,N,"8"
"POINT (-117.173544312144 32.7124590961021)","97603",6277589.12550000008,1840264.17100000009,fjessie,2016-03-30,Z,N,"8"
"POINT (-117.170118736015 32.7125254586593)","97613",6278643.00100000016,1840279.00000000000,fjessie,2019-05-17,Z,N,"8"
"POINT (-117.170093573565 32.7114756555471)","97838",6278647.37000000011,1839896.97900000005,fjessie,2016-03-30,Z,N,"8"
"POINT (-117.166530759692 32.7101444760343)","98164",6279739.00000000000,1839403.00000000000,fjessie,2016-03-30,Z,N,"8"
"POINT (-117.172969354041 32.713578139639)","180588",6277769.57925000042,1840669.74949999992,fjessie,2018-08-14,Z,,"8"
"POINT (-117.171991481525 32.7114725387068)","180589",6278063.58174999990,1839901.00200000009,fjessie,2016-03-30,Z,,"8"
