neighborhood,intersection,wkt_geom
columbia,State_Broadway,Point (-117.16649118641700511 32.71571875906960258)
columbia,State_A,Point (-117.16648766007800475 32.71881911084970085)
marina,Ketner_Market,Point (-117.1691774141470006 32.71142207760689757)
marina,Ketner_G,Point (-117.16917596046299366 32.71252974031170169)
columbia,Ketner_Broadway,Point (-117.16916691519600136 32.71571533773430218)
columbia,Ketner_A,Point (-117.1691758717190055 32.71881049601650204)
core_columbia,Front_Broadway,Point (-117.16471603640100341 32.71572094341379966)
core_columbia,Front_B,Point (-117.16472767475299577 32.71778224069959862)
cortez,9th_Cedar,Point (-117.15657121485999426 32.72199547038759704)
cortez,9th_Ash,Point (-117.15655942745600271 32.71990118969490169)
east_village,7th_Market,Point (-117.15830990669300604 32.71150259607559718)
east_village,7th_L,Point (-117.15826652205500125 32.70729219355339978)
east_village,7th_Imperial,Point (-117.15825584325800435 32.70632437643590151)
east_village,7th_E,Point (-117.15833600264700465 32.71466594278439999)
gaslamp,6th_K,Point (-117.15919401166600267 32.70833254258879919)
gaslamp,6th_Broadway,Point (-117.1592603196859983 32.71570631548200225)
gaslamp,4th_K,Point (-117.16099818421500345 32.70832197669540164)
gaslamp,4th_Broadway,Point (-117.16108089481500087 32.71569562856279845)
marina,3rd_K,Point (-117.16190185628499876 32.70831254935300336)
marina,3rd_G,Point (-117.16196522978600569 32.71255303785339663)
cortez,1st_Cedar,Point (-117.16385740914999758 32.72196154543279789)
cortez,1st_Ash,Point (-117.16385218157900283 32.71989134752030282)
east_village,16th_Market,Point (-117.14945752821999747 32.71153174577030143)
east_village,16th_Imperial,Point (-117.14942983491299344 32.70626854913039949)
east_village,16th_E,Point (-117.14948028640999667 32.7147171044613998)
core_columbia,11th_Broadway,Point (-117.15469907654400572 32.71572886435100003)
core_columbia,11th_B,Point (-117.15470886422700403 32.71782305488969911)
