ObjectID,Date of Data Collection,Neighborhood,Map Number,Homeless Classification,How many?,Rain?,Temperature?,x,y
1,1/1/2014 8:00,Gaslamp,1,individual_sleeper,1,na,,-117.1609949,32.71553867
2,1/1/2014 8:00,Gaslamp,1,individual_sleeper,1,na,,-117.160232,32.71514385
3,1/1/2014 8:00,Gaslamp,1,individual_sleeper,1,na,,-117.15933,32.71561482
611,1/1/2014 8:00,Gaslamp,1,individual_sleeper,1,na,,-117.1602265,32.71319891
645,1/1/2014 8:00,Gaslamp,1,individual_sleeper,1,na,,-117.1609461,32.71246354
687,1/1/2014 8:00,Gaslamp,1,individual_sleeper,1,na,,-117.16084,32.7116
736,1/1/2014 8:00,Gaslamp,1,individual_sleeper,1,na,,-117.16093,32.71052
796,1/1/2014 8:00,Gaslamp,1,individual_sleeper,1,na,,-117.1593159,32.71275
829,1/1/2014 8:00,Gaslamp,1,individual_sleeper,1,na,,-117.1593239,32.71173226
857,1/1/2014 8:00,Gaslamp,1,individual_sleeper,2,na,,-117.1593266,32.71167451
872,1/1/2014 8:00,Gaslamp,1,individual_sleeper,2,na,,-117.1600288,32.71020903
875,1/1/2014 8:00,Gaslamp,1,individual_sleeper,1,na,,-117.1596059,32.7094342
972,1/1/2014 8:00,gaslamp,1,individual_sleeper,2,na,,-117.1592666,32.70788
976,1/1/2014 8:00,Gaslamp,1,individual_sleeper,1,na,,-117.16002,32.7082251
620,1/1/2015 8:00,Gaslamp,13,individual_sleeper,1,no,,-117.16095,32.71524
652,1/1/2015 8:00,Gaslamp,13,individual_sleeper,2,no,,-117.15955,32.71561
662,1/1/2015 8:00,Gaslamp,13,individual_sleeper,1,no,,-117.1600488,32.71546969
669,1/1/2015 8:00,Gaslamp,13,individual_sleeper,1,no,,-117.1593635,32.71508339
691,1/1/2015 8:00,Gaslamp,13,individual_sleeper,1,no,,-117.1609573,32.71271323
704,1/1/2015 8:00,Gaslamp,13,individual_sleeper,1,no,,-117.1598,32.71352
709,1/1/2015 8:00,Gaslamp,13,individual_sleeper,1,no,,-117.1593455,32.71305195
718,1/1/2015 8:00,Gaslamp,13,individual_sleeper,2,no,,-117.1602448,32.71193226
735,1/1/2015 8:00,Gaslamp,13,individual_sleeper,2,no,,-117.1602334,32.71054949
747,1/1/2015 8:00,Gaslamp,13,individual_sleeper,1,no,,-117.1605573,32.71051693
757,1/1/2015 8:00,Gaslamp,13,individual_sleeper,1,no,,-117.15933,32.71137
766,1/1/2015 8:00,Gaslamp,13,individual_sleeper,1,no,,-117.15981,32.71033
773,1/1/2015 8:00,Gaslamp,13,individual_sleeper,1,no,,-117.1593302,32.71032545
779,1/1/2015 8:00,Gaslamp,13,individual_sleeper,1,no,,-117.1600412,32.70724627
783,1/1/2015 8:00,Gaslamp,13,individual_sleeper,2,no,,-117.1599543,32.7071942
434,1/24/2018 8:00,Gaslamp,50,individual_sleeper,1,no,,-117.16035,32.7156
468,1/24/2018 8:00,Gaslamp,50,individual_sleeper,2,no,52,-117.16034,32.71472
