url,neighborhood,source,dest,matrix
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,columbia,"POLYGON ((262 1743, 262.5 1123, 585.5 1118.5, 590.5 1740.5, 262 1743))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[2.532279144233197, 0.003906776153235504, 0.0], [0.005443622869876018, 1.8149142051568332, 0.0], [6278277.716893654, 1839398.2791755241, 1.0]]"
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,columbia,"POLYGON ((832.5 1161, 827.5 753.5, 1541.5 750.5, 1544.5 1160.5, 832.5 1161))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.1569821727363658, -0.00034090625478441636, 0.0], [0.01093064394891114, 2.7573472182702385, 0.0], [6277978.830107457, 1839360.8825392455, 1.0000000000000007]]"
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,columbia,"POLYGON ((605 1426.5, 602 1086, 1188 1086, 1185 1422.5, 605 1426.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.4149828534968452, 0.0026550014295647142, 0.0], [0.026734441855469884, 3.3294738409707914, 0.0], [6278062.075188009, 1837815.8377346934, 0.9999999999999999]]"
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,columbia,"POLYGON ((844.5 1227.5, 848.5 777.5, 1626.5 772.5, 1627.5 1226.5, 844.5 1227.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.0569914364795376, 0.0030690793601490965, 0.0], [0.023602955974081012, 2.4934923071964916, 0.0], [6278031.1825320255, 1839497.754516448, 0.9999999999999998]]"
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,columbia,"POLYGON ((627 1423, 626 1097.5, 1186.5 1095.5, 1187.5 1422, 627 1423))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.4718082874478764, 0.00020322881428490105, 0.0], [0.023366897638470344, 3.4572716835053656, 0.0], [6277998.050477811, 1837642.9180367505, 0.9999999999999999]]"
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,columbia,"POLYGON ((856.5 1223.5, 857.5 749.5, 1667.5 749.5, 1665.5 1220.5, 856.5 1223.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.0190804722286262, -0.0018491129344363427, 0.0], [0.022449347425906603, 2.3853014089062774, 0.0], [6278054.089019958, 1839648.558254264, 0.9999999999999997]]"
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,columbia,"POLYGON ((854.5 1226.5, 851.5 751.5, 1661.5 753.5, 1660.5 1227.5, 854.5 1226.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.0208888735991328, -0.010693234024052858, 0.0], [0.016989389342844368, 2.3753013757038106, 0.0], [6278061.970687801, 1839660.0228584143, 0.9999999999999997]]"
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,columbia,"POLYGON ((857.5 1228.5, 855.5 751.5, 1665.5 752.5, 1665.5 1228, 857.5 1228.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.019660855856446, -0.007004904042943112, 0.0], [0.01692850773887217, 2.3665611781262537, 0.0], [6278059.489572054, 1839663.1777973538, 1.0000000000000002]]"
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,columbia,"POLYGON ((837.5 1208, 831.5 730.5, 1640.5 731.5, 1644 1205.5, 837.5 1208))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.0212507179655987, -0.0040890757613785975, 0.0], [0.008878107786631442, 2.369044174679834, 0.0], [6278088.750115474, 1839707.292134302, 0.9999999999999997]]"
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,columbia,"POLYGON ((857.5 1214.5, 851.5 738.5, 1661.5 732.5, 1659.5 1204.5, 857.5 1214.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.023575646976623, 0.01727149505434214, 0.0], [0.014796138733936906, 2.377663933341531, 0.0], [6278060.507629018, 1839663.5389196423, 0.9999999999999999]]"
