image_url,cx,cy,r,type,count
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1535,234,24.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1673,301,26.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1546,299,28.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1477,370,28.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1419,424,29.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1798,381,26.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1671,441,31.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1419,574,34.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1809,544,30.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1755,591,30.0,Individual,5
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1682,583,31.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1686,516,30.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1548,712,32.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1667,703,23.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1750,667,25.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1669,847,27.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1551,843,30.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1415,991,33.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1665,1013,28.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1811,1129,29.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1660,1277,34.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1802,1245,33.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1796,1404,28.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1540,1404,30.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1793,1454,28.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1344,222,30.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1604,221,30.0,Individual,5
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1335,273,29.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1750,250,28.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1744,398,24.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1679,370,29.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1604,393,33.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1348,385,30.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1490,391,31.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1467,497,29.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1336,538,32.0,Individual,5
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1748,499,26.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1748,553,28.0,Individual,7
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1669,561,29.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1606,529,27.0,Individual,8
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1493,671,25.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1606,665,26.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1714,643,28.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1335,813,27.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1398,781,26.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1482,779,27.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1469,828,24.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1740,843,27.0,Individual,7
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1607,817,30.0,Individual,5
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1344,955,25.0,Individual,5
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1406,931,23.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1598,964,24.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1493,968,25.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1735,1073,24.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1604,1105,31.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1488,1103,28.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1740,1409,29.0,Individual,5
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1764,1447,24.0,Individual,10
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1488,1402,18.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1361,286,23.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1779,288,21.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1617,292,23.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1525,307,23.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1768,331,23.0,Individual,6
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1516,409,21.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1516,453,19.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1355,439,23.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1621,428,23.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1776,424,24.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1772,576,25.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1695,611,25.0,Individual,5
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1626,579,23.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1523,581,20.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1419,619,18.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1364,587,24.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1640,759,19.0,Individual,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1619,718,22.0,Individual,2
