image_url,date,neighborhood,total_count,temp,rain,source_file
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,2018-01-24,Gaslamp,44,52,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2018.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,2018-02-21,Gaslamp,84,52,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2018.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,2018-03-28,Gaslamp,93,59,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2018.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201804-007.png,2018-04-25,Gaslamp,51,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2018.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201805-007.png,2018-05-31,Gaslamp,65,60,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2018.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201806-007.png,2018-06-28,Gaslamp,39,63,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2018.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201402-003.png,2014-02-28,Core Columbia,159,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201403-003.png,2014-03-31,Core Columbia,167,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201404-003.png,2014-04-30,Core Columbia,143,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201405-005.png,2014-05-31,Core Columbia,126,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201406-003.png,2014-06-30,Core Columbia,140,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201407-003.png,2014-07-31,Core Columbia,155,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201408-003.png,2014-08-31,Core Columbia,162,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201409-003.png,2014-09-30,Core Columbia,162,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201410-003.png,2014-10-31,Core Columbia,123,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201411-003.png,2014-11-30,Core Columbia,133,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201412-004.png,2014-12-31,Core Columbia,172,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201401-003.png,2014-01-03,Gaslamp,18,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201403-005.png,2014-03-05,Gaslamp,29,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201404-006.png,2014-04-06,,18,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201405-004.png,2014-05-04,Gaslamp,14,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201406-006.png,2014-06-06,Gaslamp,24,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201407-006.png,2014-07-06,Gaslamp,30,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201408-006.png,2014-08-06,Gaslamp,10,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201409-006.png,2014-09-06,Gaslamp,10,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201410-006.png,2014-10-06,Gaslamp,16,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201411-006.png,2014-11-06,Gaslamp,15,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201412-005.png,2014-12-05,Gaslamp,16,,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/gaslamp-homeless-2014.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201601-003.png,2016-01-29,Marina,28,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201602-002.png,2016-02-28,Marina,33,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201603-003.png,2016-03-01,Marina,22,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201604-003.png,2016-04-01,Marina,27,Marina,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201605-003.png,2016-05-01,Marina,38,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201606-003.png,2016-06-30,Marina,38,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201607-003.png,2016-07-28,Marina,45,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201608-003.png,2016-08-24,Marina,51,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201609-003.png,2016-09-01,Marina,48,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201610-003.png,2016-10-27,Marina,44,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201611-003.png,2016-10-23,Marina,18,50,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201612-003.png,2016-12-29,Marina,36,48,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201801-003.png,2018-01-24,Core,117,52,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2018.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201802-003.png,2018-02-21,Core,148,52,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2018.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201803-003.png,2018-03-28,Core,126,59,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2018.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201804-003.png,2018-04-25,Core,109,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2018.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201805-003.png,2018-05-03,Core,167,60,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2018.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201806-003.png,2018-06-28,Core,114,63,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2018.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/cortez/201501-003.png,2015-01-31,Cortez,52,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/cortez-homeless-2015.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/cortez/201502-005.png,2015-02-25,Cortez,33,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/cortez-homeless-2015.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/cortez/201503-006.png,2015-03-26,Cortez,59,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/cortez-homeless-2015.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/cortez/201504-005.png,2015-04-30,Cortez,40,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/cortez-homeless-2015.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/cortez/201505-005.png,2015-05-31,Cortez,43,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/cortez-homeless-2015.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/cortez/201507-004.png,2015-07-31,Cortez,39,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/cortez-homeless-2015.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/cortez/201508-005.png,2015-08-27,Cortez,45,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/cortez-homeless-2015.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/cortez/201509-006.png,2015-09-25,Cortez,52,,clear,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/cortez-homeless-2015.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/cortez/201510-005.png,2015-10-31,Cortez,32,,rain,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/cortez-homeless-2015.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/cortez/201511-005.png,2015-11-25,Cortez,45,,rain,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/cortez-homeless-2015.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/cortez/201512-004.png,2015-12-31,Cortez,40,,rain,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/cortez-homeless-2015.json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201701-002.png,2017-01-26,Columbia,36,42,,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/columbia-homeless-2017.json
