image_url,x,y,width,height,intersection
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1338,178,47,30,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1839,185,45,32,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1340,1183,45,32,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201801-007.png,1841,1191,41,28,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1284,163,36,30,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1774,155,36,36,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1277,1151,39,32,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201802-007.png,1772,1155,41,34,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1308,198,43,30,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1796,200,39,36,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1310,1202,37,30,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201803-007.png,1800,1202,37,30,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201804-007.png,1533,159,37,34,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201804-007.png,1916,160,34,34,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201804-007.png,1550,1252,36,28,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201804-007.png,1921,1250,37,32,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201805-007.png,925,108,22,23,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201805-007.png,1261,104,23,23,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201805-007.png,916,811,30,23,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201805-007.png,1262,813,31,22,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201806-007.png,945,105,22,21,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201806-007.png,1283,103,22,23,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201806-007.png,934,817,25,20,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201806-007.png,1278,818,23,22,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201701-003.png,533,948,30,30,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201701-003.png,533,826,24,28,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201701-003.png,1624,815,26,28,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201701-003.png,1622,1307,28,34,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201702-003.png,512,978,24,26,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201702-003.png,510,856,24,32,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201702-003.png,1602,864,28,28,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201702-003.png,1598,1344,30,37,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201703-003.png,529,942,22,28,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201703-003.png,531,820,21,22,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201703-003.png,1615,822,22,26,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201703-003.png,1613,1311,34,30,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201704-004.png,407,740,47,30,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201704-004.png,407,559,41,41,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201704-004.png,1568,546,39,32,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201704-004.png,1589,1292,37,39,3rd_K
