week,sd_hep_search
2017-01-01,0
2017-01-08,1
2017-01-15,1
2017-01-22,1
2017-01-29,1
2017-02-05,1
2017-02-12,0
2017-02-19,1
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,2
2017-03-26,1
2017-04-02,1
2017-04-09,1
2017-04-16,1
2017-04-23,1
2017-04-30,2
2017-05-07,1
2017-05-14,1
2017-05-21,1
2017-05-28,1
2017-06-04,1
2017-06-11,1
2017-06-18,1
2017-06-25,1
2017-07-02,1
2017-07-09,2
2017-07-16,1
2017-07-23,1
2017-07-30,1
2017-08-06,1
2017-08-13,1
2017-08-20,2
2017-08-27,8
2017-09-03,35
2017-09-10,63
2017-09-17,100
2017-09-24,32
2017-10-01,17
2017-10-08,25
2017-10-15,26
2017-10-22,13
2017-10-29,6
2017-11-05,9
2017-11-12,8
2017-11-19,6
2017-11-26,5
2017-12-03,5
2017-12-10,3
2017-12-17,2
2017-12-24,4
2017-12-31,3
2018-01-07,3
2018-01-14,3
2018-01-21,3
2018-01-28,2
2018-02-04,1
2018-02-11,2
2018-02-18,1
2018-02-25,1
2018-03-04,2
2018-03-11,2
2018-03-18,1
2018-03-25,1
2018-04-01,1
2018-04-08,1
2018-04-15,1
2018-04-22,1
2018-04-29,1
2018-05-06,1
2018-05-13,1
2018-05-20,1
2018-05-27,2
2018-06-03,1
2018-06-10,1
2018-06-17,2
2018-06-24,1
2018-07-01,1
2018-07-08,1
2018-07-15,2
2018-07-22,2
2018-07-29,1
2018-08-05,1
2018-08-12,1
2018-08-19,1
2018-08-26,1
2018-09-02,1
2018-09-09,0
2018-09-16,1
2018-09-23,1
2018-09-30,0
2018-10-07,1
2018-10-14,1
2018-10-21,1
2018-10-28,1
2018-11-04,0
2018-11-11,0
2018-11-18,1
2018-11-25,1
2018-12-02,1
2018-12-09,0
2018-12-16,0
2018-12-23,1
2018-12-30,1
2019-01-06,0
2019-01-13,1
2019-01-20,0
2019-01-27,1
2019-02-03,2
2019-02-10,1
2019-02-17,1
2019-02-24,1
2019-03-03,1
2019-03-10,0
2019-03-17,0
2019-03-24,1
2019-03-31,1
2019-04-07,1
2019-04-14,1
2019-04-21,1
2019-04-28,0
2019-05-05,1
2019-05-12,1
2019-05-19,1
2019-05-26,1
2019-06-02,0
2019-06-09,1
2019-06-16,1
2019-06-23,1
2019-06-30,1
2019-07-07,2
2019-07-14,1
2019-07-21,1
2019-07-28,1
2019-08-04,1
2019-08-11,1
2019-08-18,0
2019-08-25,1
2019-09-01,0
2019-09-08,0
2019-09-15,1
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
