,neighborhood,date,type,x,y
0,columbia,2015-09-25,Individual,6279947.664789374,1842842.3113365686
1,columbia,2015-09-25,Individual,6279947.291575208,1842850.1318932993
2,columbia,2015-09-25,Individual,6279956.25261043,1842694.046798233
3,columbia,2015-09-25,Individual,6279952.685400193,1842689.4448542167
4,columbia,2015-09-25,Individual,6279957.403567664,1842689.0752213297
5,columbia,2015-09-25,Individual,6279956.161058332,1842689.9815122006
6,columbia,2015-09-25,Individual,6279953.391186205,1842688.0176284397
7,columbia,2015-09-25,Individual,6279950.150058267,1842688.7399036472
8,columbia,2015-09-25,Individual,6279942.855877296,1842452.0526319218
9,columbia,2015-09-25,Individual,6279945.637065692,1842452.9922010778
10,columbia,2015-09-25,Individual,6279938.974550258,1842449.7831927743
11,columbia,2015-09-25,Individual,6279940.254997535,1842455.0145541935
12,columbia,2015-09-25,Individual,6279946.489801278,1842447.4963979144
13,columbia,2015-09-25,Individual,6279945.300306365,1842453.1054872999
14,columbia,2015-09-25,Individual,6279883.228357213,1842286.284955088
15,columbia,2015-09-25,Individual,6279879.642525549,1842285.4404467898
16,columbia,2015-09-25,Individual,6279879.733361068,1842285.0647794562
17,columbia,2015-09-25,Individual,6279885.362247038,1842281.0506143628
18,columbia,2015-09-25,Individual,6279884.244139098,1842280.7061387992
19,columbia,2015-09-25,Individual,6279881.68165831,1842288.275283065
20,columbia,2015-09-25,Individual,6279879.271208085,1842281.944473859
21,columbia,2015-09-25,Individual,6278550.121776505,1841904.428898484
22,columbia,2015-09-25,Individual,6279019.064608602,1842056.153999011
23,columbia,2015-09-25,Individual,6279395.612058161,1842027.173837275
24,columbia,2015-09-25,Individual,6279310.39112256,1841901.963760172
25,columbia,2015-09-25,Individual,6279309.353042194,1841899.4578290458
26,columbia,2015-09-25,Individual,6279309.526130255,1841897.8970187115
27,columbia,2015-09-25,Individual,6279309.644026271,1841898.2399412964
28,columbia,2015-09-25,Individual,6279305.235902003,1841891.654481443
29,columbia,2015-09-25,Individual,6279595.824901064,1841890.8917573846
30,columbia,2015-09-25,Individual,6279887.92205172,1841906.354039213
31,columbia,2015-09-25,Individual,6279891.589785932,1841909.4813121725
32,columbia,2015-09-25,Individual,6279891.833907598,1841903.8864726159
33,columbia,2015-09-25,Individual,6279593.677587162,1841551.1807934346
34,columbia,2015-09-25,Individual,6279595.9024637975,1841552.315715375
35,columbia,2015-09-25,Individual,6279593.342611591,1841545.3215844817
36,columbia,2015-09-25,Individual,6279592.282349461,1841716.7197931765
37,columbia,2015-09-25,Individual,6279592.895303132,1841717.7684703118
38,columbia,2015-09-25,Individual,6279848.755647919,1841711.2069004718
39,columbia,2015-09-25,Individual,6279858.442398527,1841705.9452679278
40,columbia,2015-09-25,Individual,6279120.268171922,1842655.270497549
41,columbia,2016-01-29,Individual,6278903.988973636,1842075.621183281
42,columbia,2016-01-29,Individual,6279271.486069328,1842263.748942184
43,columbia,2016-01-29,Individual,6279003.673686522,1841887.9770766615
44,columbia,2016-01-29,Individual,6278989.978911728,1841678.526170801
45,columbia,2016-01-29,Individual,6279177.41390437,1841672.527597446
46,columbia,2016-01-29,Individual,6279052.29320502,1841346.5169645725
47,columbia,2016-01-29,Individual,6279621.293042825,1841329.025812638
48,columbia,2016-01-29,Individual,6279571.088395266,1841742.220103241
49,columbia,2016-01-29,Individual,6279560.671447619,1841947.216736478
50,columbia,2016-01-29,Individual,6279555.411832489,1842843.316127896
51,columbia,2016-01-29,Individual,6279650.146903232,1842831.0345289046
52,columbia,2016-01-29,Individual,6279916.247609009,1841528.6568566367
53,columbia,2016-01-29,Individual,6279912.294825466,1841527.369041926
54,columbia,2016-01-29,Individual,6279915.286393314,1841527.5550562884
