file_id,neighborhood,date,count,type,x,y
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,1,1,6279938.318032638,1842618.0116150354
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,1,1,6280006.644810841,1842450.1569452698
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,1,1,6279551.685267434,1841976.935310544
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,1,1,6279047.409874852,1841534.7986378362
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,1,1,6279092.554278679,1842595.6023241105
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,1,1,6278888.205156962,1841279.4488859829
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,1,1,6278793.360916117,1841356.7249422437
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,1,1,6279608.612852371,1841869.91242854
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,1,1,6278524.018351093,1841532.7179141133
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,2,1,6278759.165089686,1841534.1655348411
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,2,1,6279016.997999188,1841737.4549040324
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,2,1,6279915.470551769,1842881.2087698027
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,21,1,6279900.769584252,1841526.7629449614
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,3,1,6279995.305232126,1842339.1265296636
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,5,1,6280002.762671403,1842708.0084301597
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,1,2,6279858.676222888,1842604.0690795726
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,1,2,6279851.150402213,1842432.323235881
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,2,2,6278838.810406175,1841537.9985289294
qVV8y6+iXDjZlbKMxoJV5jKJB6YLAwTAKPFhgw==,columbia,,1,1,6279938.318032638,1842618.0116150354
