image_url,cx,cy,r,type,count
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,654,100,40.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,658,188,34.0,Individual,6
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,656,319,37.0,Individual,6
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,630,411,30.9,Individual,7
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,105,620,57.096,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,290,537,54.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,439,553,35.733,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,404,623,30.0,Individual,5
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,518,625,34.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,635,620,34.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,516,818,29.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,518,723,32.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,620,727,37.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,328,204,51.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,796,1014,39.364,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,1106,947,36.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,872,1082,29.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,867,1160,34.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,1029,1162,34.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,921,1278,41.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,1413,1286,51.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,1365,1137,21.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,1359,1062,37.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,1350,739,32.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,1426,739,36.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,1668,1214,71.0,Individual,16
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,1744,916,43.0,Individual,8
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,1744,787,45.0,Individual,12
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,1680,692,40.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,687,497,22.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,768,496,20.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,829,547,23.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,1027,519,25.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,1112,492,24.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,1296,503,26.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,1235,547,21.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,390,871,34.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,570,714,25.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,704,608,22.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,1218,642,25.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,1300,658,14.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,1276,663,12.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,636,849,14.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,1146,721,25.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,1285,891,40.0,Individual,16
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,886,833,20.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,831,862,19.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,696,882,19.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,390,1053,50.0,Individual,5
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,376,1309,46.0,Individual,6
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,907,1284,43.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,944,729,48.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,1477,670,38.0,Individual,5
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,1699,660,44.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,1835,699,44.0,Individual,5
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,1735,887,36.0,Individual,13
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,1171,1183,37.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,1445,1111,39.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,1749,963,34.0,Individual,7
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,1830,1161,45.0,Individual,11
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,596,777,29.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,591,867,36.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,780,508,34.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,1290,500,33.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,660,657,33.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,669,782,34.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,771,787,25.0,Individual,5
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,760,939,27.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,851,859,38.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,958,818,29.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,1104,611,32.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,1033,733,28.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,1148,755,23.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,1031,833,30.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,1149,823,30.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,1274,862,47.0,Individual,6
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,779,1192,58.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1086,696,48.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1581,661,32.05,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1632,715,37.521,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1706,696,30.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1895,728,44.0,Individual,10
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1770,659,38.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1863,654,25.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,902,1153,38.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1182,968,43.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1172,1060,40.0,Individual,7
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,939,1308,33.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1165,1197,26.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1244,1209,35.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1413,1310,47.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1566,1298,38.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1627,1158,40.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1610,1224,30.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1794,1202,42.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,1890,1313,65.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,799,1101,42.929,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,799,1182,31.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,1340,666,43.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,1601,641,42.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,922,1186,38.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,927,1306,34.763,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,1170,1013,47.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,1185,1313,55.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,1733,1305,50.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,1613,821,45.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,1623,713,28.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,1443,897,32.795,Individual,6
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,1524,897,36.542,Individual,7
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,1802,887,33.434,Individual,15
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,1772,973,40.0,Individual,10
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,1792,1182,56.0,Individual,12
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,796,1050,56.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,909,696,53.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,1104,713,55.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,1074,1050,52.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,1534,659,60.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,1780,656,51.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,1888,656,35.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,1878,725,31.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,1866,809,36.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,1890,895,37.0,Individual,9
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,1802,892,31.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,1214,1293,50.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,1841,1212,42.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,1878,1133,38.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,511,1204,45.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,366,1352,48.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,536,1377,48.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,764,1018,55.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,1047,678,43.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,1490,678,53.0,Individual,5
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,1681,720,37.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,1858,720,51.0,Individual,10
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,1871,880,51.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,902,878,53.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,944,1219,43.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,892,1322,43.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,1150,1327,49.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,1775,1227,57.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,396,948,61.0,Individual,10
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,383,1121,57.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,683,1113,71.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,782,991,43.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,1175,723,38.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,1236,669,40.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,1531,688,47.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,1622,742,49.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,1713,683,31.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,1878,912,37.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,1780,922,37.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,1799,688,34.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,1753,847,36.0,Individual,18
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,1886,731,42.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201610-002.png,358,1168,37.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201610-002.png,771,1184,44.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201610-002.png,776,978,45.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201610-002.png,889,1008,39.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201610-002.png,889,1091,34.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201610-002.png,1050,1204,47.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201610-002.png,1063,692,31.0,Individual,1
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201610-002.png,1159,1050,43.0,Individual,4
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201610-002.png,1163,705,34.0,Individual,2
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201610-002.png,1425,1047,50.0,Individual,3
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201610-002.png,1504,672,44.0,Individual,1
