image_url,date,neighborhood,total_count,temp,rain,source_file
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,2015-09-25,Columbia,41,,clear,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2015-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201601-002.png,2016-01-29,Columbia,50,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2016-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201602-003.png,2016-02-25,Columbia,45,,clear,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2016-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201603-002.png,,Columbia,65,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2016-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201604-002.png,,Columbia,30,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2016-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201605-002.png,,Columbia,54,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2016-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201606-002.png,,Columbia,65,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2016-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201607-002.png,2016-07-28,Columbia,38,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2016-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201608-002.png,2016-08-24,Columbia,34,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2016-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201609-002.png,,Columbia,47,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2016-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201610-002.png,2016-06-27,Columbia,56,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2016-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201611-002.png,2016-10-23,Columbia,50,50,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2016-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201612-002.png,2016-12-29,Columbia,43 ,48,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2016-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201701-002.png,2017-01-26,Columbia,36,42,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2017-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201702-002.png,2017-02-23,Columbia,35,55,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2017-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201703-002.png,2017-03-30,Columbia,20,58,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2017-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201704-003.png,2017-04-26,Columbia,46,64,clear,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2017-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201705-003.png,2017-05-25,Columbia,59,59,clear,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2017-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201706-003.png,2017-06-29,Columbia,41,62,clear,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2017-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201707-003.png,2017-07-27,Columbia,47.25,67,clear,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2017-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201708-003.png,2017-08-31,Columbia,69.5,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2017-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201709-005.png,2017-09-27,Columbia,60.66,66,clear,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2017-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201710-005.png,2017-10-25,Columbia,56,66,clear,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2017-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201711-005.png,2017-11-29,Columbia,48.75,59,clear,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2017-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201712-005.png,2017-12-27,Columbia,45.75,54,clear,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-columbia-homeless-2017-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/east_villiage/201401-002.png,2014-01-01,east_village,330,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-east-villiage-homeless-2014-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/east_villiage/201402-002.png,2014-02-01,east_village,301,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-east-villiage-homeless-2014-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/east_villiage/201403-002.png,2014-03-01,east_village,376,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-east-villiage-homeless-2014-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/east_villiage/201404-002.png,2014-04-01,east_village,360,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-east-villiage-homeless-2014-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/east_villiage/201405-002.png,2014,east_village,410,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-east-villiage-homeless-2014-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/east_villiage/201406-002.png,2014-06-01,east_village,442,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-east-villiage-homeless-2014-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/east_villiage/201407-002.png,2014-07-01,east_village,423,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-east-villiage-homeless-2014-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/east_villiage/201408-002.png,2014-08,east_village,397 ,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-east-villiage-homeless-2014-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/east_villiage/201410-002.png,2014-10,east_village,442,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-east-villiage-homeless-2014-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/east_villiage/201411-002.png,2014-11,east_village,339,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-east-villiage-homeless-2014-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/east_villiage/201412-002.png,2014-12-01,east_village,325,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-east-villiage-homeless-2014-json
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/east_villiage/201601-000.png,2016-01-29,East Village,391,,,//var/folders/kp/jn04x74j43j9v0t6cl0574h00000gn/T/dtcv-http-ds-civicknowledge-org-downtownsandiego-org-complete-annotations-count-east-villiage-homeless-2016-json
