url,neighborhood,source,dest,matrix
"https://lh3.googleusercontent.com/d/1-ysbJbPmEuj5CNpn1dZ6L9TmFdnF4NIz
",core,"POLYGON ((401 1612.5, 401.5 1372.5, 1360.5 1366.5, 1362 1610, 401 1612.5))","POLYGON ((6280315 1841426.99999984, 6280318 1842176.99899985, 6283399.60100012 1842164.96199983, 6283395.99999989 1841402.99999985, 6280315 1841426.99999984))","[[3.2097155259561982, -0.004924594911112468, 0.0], [0.006926336442120373, 3.1271424691406082, 0.0], [6279018.265604082, 1837136.7150916639, 1.0]]"
"https://lh3.googleusercontent.com/d/10o34rbQnUz6khV8lVboTc-CTtbNO419t
",cortez,"POLYGON ((536.5 1563.5, 536.5 1286, 1296.5 1284.5, 1296 1564, 536.5 1563.5))","POLYGON ((6280594 1842941.99999986, 6280598.99400006 1843695.21999986, 6282840 1843687.99999984, 6282836.99999987 1842925.99999983, 6280594 1842941.99999986))","[[2.950985967940581, -0.013491780316973463, 0.0], [0.016997324330986885, 2.7203325284872335, 0.0], [6278989.076045099, 1839450.0548432053, 0.9999999999999997]]"
"https://lh3.googleusercontent.com/d/11jzyY2_wRJ5S16VRURBS8HWhUgv1EDC0
",barrio_logan,"POLYGON ((440 1483, 1036.5 1000.5, 1243.5 1258, 502 1861, 440 1483))","POLYGON ((6284815.309510723 1836171.631447062, 6284995.965973556 1837498.1724291444, 6287564.770219132 1835343.8962258995, 6286846.508204222 1834458.5886133164, 6284815.309510723 1836171.631447062))","[[3.415577660776611, -0.05034135965164817, 0.0], [-0.031473220787120226, 3.5018576502814085, 0.0], [6283348.4728510175, 1831003.8327726293, 1.0]]"
"https://lh3.googleusercontent.com/d/1319K8iiy0fc3HuLIPTskZSU30LEnfvRi
",gaslamp,"POLYGON ((960.5 1876, 957.5 1151.5, 1322.5 1149.5, 1331.5 1870, 960.5 1876))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.514769102192511, 0.03780585264185001, 0.0], [-0.011878868470375892, 3.713153291937033, 0.0], [6279999.3270456195, 1834409.428421192, 0.9999999999999992]]"
"https://lh3.googleusercontent.com/d/13A0-8EqabRpOo41sS_0ZyHZ6pAw8PILV
",marina,"POLYGON ((347.5 1628, 345.5 1492, 1179 1082, 1179 1629, 347.5 1628))","POLYGON ((6278929 1839874.99999984, 6278933 1840277.99999986, 6281151 1840266.99999984, 6281156.999 1838723.99999984, 6278929 1839874.99999984))","[[2.667592358996848, -0.0029003800126749294, 0.0], [-0.010899941144998593, 2.829161486220073, 0.0], [6278023.683067375, 1835664.0021081609, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/14Knp4yfkFZjXoUYxnZ876q4FwSKsqivH
",east_village_south,"POLYGON ((304.5 1675, 302.5 1103, 1240.5 1100, 1242.5 1671, 304.5 1675))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.8985928579262334, -0.017899919056049547, 0.0], [-0.0033403239813196706, 3.323879471266764, 0.0], [6281397.025489559, 1834321.4877578528, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/14UCJTIpb193HDsrBPDXWZeFQFYJleX9c
",city_center,"POLYGON ((413 1626, 414.5 1386, 1367.5 1388, 1365 1627.5, 413 1626))","POLYGON ((6280315 1841426.99999984, 6280318 1842176.99899985, 6283399.60100012 1842164.96199983, 6283395.99999989 1841402.99999985, 6280315 1841426.99999984))","[[3.234885230904868, -0.02471365432280233, 0.0], [0.04074355550619657, 3.152967893233381, 0.0], [6278916.7069492955, 1837063.8569080753, 0.9999999999999998]]"
"https://lh3.googleusercontent.com/d/15Eq3S_MqyaZ5D3ryLkA3dfoC0-PiM5oH
",cortez,"POLYGON ((534.5 1535, 535 1262.5, 1302 1266, 1301 1539, 534.5 1535))","POLYGON ((6280594 1842941.99999986, 6280598.99400006 1843695.21999986, 6282840 1843687.99999984, 6282836.99999987 1842925.99999983, 6280594 1842941.99999986))","[[2.9239230349775736, -0.02872803295472161, 0.0], [0.02269364665789908, 2.7776053207539917, 0.0], [6279001.186374645, 1839448.7974727238, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/15V74WH9d-rT3x_fVTMgZOmT7NlJ7BJyP
",gaslamp,"POLYGON ((1132.5 1881, 1131 1081.5, 1413.5 1077.5, 1412.5 1877, 1132.5 1881))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.9821418799241701, 0.044170982993559704, 0.0], [6.0710672187269665e-06, 3.355833591033843, 0.0], [6279190.713494919, 1835045.6811058237, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/16vvUoEgIYWHY_K_OAbOydalIMG3vCSlW
",columbia,"POLYGON ((857.5 1744, 856 1301.5, 1289.5 1300.5, 1291 1742, 857.5 1744))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.9029634363626844, -0.002876770857682961, 0.0], [0.014094756363192573, 2.549940776327503, 0.0], [6277297.75978191, 1838119.614351798, 1.0000000000000002]]"
