url,neighborhood,source,dest,matrix
"https://lh3.googleusercontent.com/d/1-ysbJbPmEuj5CNpn1dZ6L9TmFdnF4NIz
",core,"POLYGON ((401 1612.5, 401.5 1372.5, 1360.5 1366.5, 1362 1610, 401 1612.5))","POLYGON ((6280315 1841426.99999984, 6280318 1842176.99899985, 6283399.60100012 1842164.96199983, 6283395.99999989 1841402.99999985, 6280315 1841426.99999984))","[[3.2097155259540364, -0.004924594911748618, 0.0], [0.006926336444408122, 3.127142469140058, 0.0], [6279018.265604077, 1837136.7150916643, 1.0]]"
"https://lh3.googleusercontent.com/d/10o34rbQnUz6khV8lVboTc-CTtbNO419t
",cortez,"POLYGON ((536.5 1563.5, 536.5 1286, 1296.5 1284.5, 1296 1564, 536.5 1563.5))","POLYGON ((6280594 1842941.99999986, 6280598.99400006 1843695.21999986, 6282840 1843687.99999984, 6282836.99999987 1842925.99999983, 6280594 1842941.99999986))","[[2.9509859679394785, -0.013491780316708038, 0.0], [0.016997324330207616, 2.7203325284852986, 0.0], [6278989.076045102, 1839450.054843208, 1.0000000000000004]]"
"https://lh3.googleusercontent.com/d/11jzyY2_wRJ5S16VRURBS8HWhUgv1EDC0
",barrio_logan,"POLYGON ((440 1483, 1036.5 1000.5, 1243.5 1258, 502 1861, 440 1483))","POLYGON ((6284815.309510723 1836171.631447062, 6284995.965973556 1837498.1724291444, 6287564.770219132 1835343.8962258995, 6286846.508204222 1834458.5886133164, 6284815.309510723 1836171.631447062))","[[3.4155776607781583, -0.05034135965194277, 0.0], [-0.031473220789109975, 3.5018576502810674, 0.0], [6283348.47285102, 1831003.8327726303, 0.9999999999999997]]"
"https://lh3.googleusercontent.com/d/1319K8iiy0fc3HuLIPTskZSU30LEnfvRi
",gaslamp,"POLYGON ((960.5 1876, 957.5 1151.5, 1322.5 1149.5, 1331.5 1870, 960.5 1876))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.51476910218945, 0.03780585264155262, 0.0], [-0.011878868470462375, 3.7131532919374672, 0.0], [6279999.327045623, 1834409.4284211914, 0.9999999999999992]]"
"https://lh3.googleusercontent.com/d/13A0-8EqabRpOo41sS_0ZyHZ6pAw8PILV
",marina,"POLYGON ((347.5 1628, 345.5 1492, 1179 1082, 1179 1629, 347.5 1628))","POLYGON ((6278929 1839874.99999984, 6278933 1840277.99999986, 6281151 1840266.99999984, 6281156.999 1838723.99999984, 6278929 1839874.99999984))","[[2.6675923589972266, -0.002900380012480568, 0.0], [-0.010899941145873783, 2.829161486219323, 0.0], [6278023.683067375, 1835664.0021081616, 0.9999999999999999]]"
"https://lh3.googleusercontent.com/d/14Knp4yfkFZjXoUYxnZ876q4FwSKsqivH
",east_village_south,"POLYGON ((304.5 1675, 302.5 1103, 1240.5 1100, 1242.5 1671, 304.5 1675))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.898592857927811, -0.017899919055951324, 0.0], [-0.003340323988067871, 3.3238794712668174, 0.0], [6281397.025489569, 1834321.4877578532, 1.0]]"
"https://lh3.googleusercontent.com/d/14UCJTIpb193HDsrBPDXWZeFQFYJleX9c
",city_center,"POLYGON ((413 1626, 414.5 1386, 1367.5 1388, 1365 1627.5, 413 1626))","POLYGON ((6280315 1841426.99999984, 6280318 1842176.99899985, 6283399.60100012 1842164.96199983, 6283395.99999989 1841402.99999985, 6280315 1841426.99999984))","[[3.2348852309066696, -0.02471365432183251, 0.0], [0.040743555510660584, 3.1529678932329337, 0.0], [6278916.706949289, 1837063.856908075, 0.9999999999999998]]"
"https://lh3.googleusercontent.com/d/15Eq3S_MqyaZ5D3ryLkA3dfoC0-PiM5oH
",cortez,"POLYGON ((534.5 1535, 535 1262.5, 1302 1266, 1301 1539, 534.5 1535))","POLYGON ((6280594 1842941.99999986, 6280598.99400006 1843695.21999986, 6282840 1843687.99999984, 6282836.99999987 1842925.99999983, 6280594 1842941.99999986))","[[2.923923034980814, -0.028728032955009423, 0.0], [0.022693646655535932, 2.7776053207550024, 0.0], [6279001.186374646, 1839448.7974727226, 1.0000000000000004]]"
"https://lh3.googleusercontent.com/d/15V74WH9d-rT3x_fVTMgZOmT7NlJ7BJyP
",gaslamp,"POLYGON ((1132.5 1881, 1131 1081.5, 1413.5 1077.5, 1412.5 1877, 1132.5 1881))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.982141879928834, 0.04417098299411402, 0.0], [6.071070385125647e-06, 3.3558335910343766, 0.0], [6279190.713494909, 1835045.681105822, 0.9999999999999997]]"
"https://lh3.googleusercontent.com/d/16vvUoEgIYWHY_K_OAbOydalIMG3vCSlW
",columbia,"POLYGON ((857.5 1744, 856 1301.5, 1289.5 1300.5, 1291 1742, 857.5 1744))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.9029634363646046, -0.002876770857179107, 0.0], [0.01409475636869994, 2.5499407763289192, 0.0], [6277297.7597819, 1838119.614351796, 0.9999999999999999]]"
"https://lh3.googleusercontent.com/d/17ZfPpCSlfgZAKgNHeM9sClRXyDREQeVE
",east_village_south,"POLYGON ((319 1684.5, 323.5 1119, 1259 1124.5, 1253.5 1693, 319 1684.5))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.907659038746214, -0.055484071258805, 0.0], [0.03253033996634597, 3.3497819215927094, 0.0], [6281292.425280819, 1834255.1938827848, 1.0]]"
"https://lh3.googleusercontent.com/d/17vT8ei53OF1d4CAgvc-UdF6HVokErdqS
",marina,"POLYGON ((347.5 1628, 345.5 1492, 1176 1082, 1175 1628, 347.5 1628))","POLYGON ((6278929 1839874.99999984, 6278933 1840277.99999986, 6281151 1840266.99999984, 6281156.999 1838723.99999984, 6278929 1839874.99999984))","[[2.6799825453557666, 6.138418799302107e-06, 0.0], [-0.006308725172692781, 2.8340548593944774, 0.0], [6278012.22799992, 1835655.3603709398, 1.0]]"
"https://lh3.googleusercontent.com/d/18FEU68exe355lzd4qJh1Y5UkrvxX6g2u
",gaslamp,"POLYGON ((970.5 1896, 967 1153.5, 1352.5 1147, 1356.5 1889, 970.5 1896))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.4451228897338575, 0.06065491066457938, 0.0], [-0.006627710228937762, 3.6143782419587382, 0.0], [6280044.142605878, 1834496.717041387, 1.0000000000000004]]"
"https://lh3.googleusercontent.com/d/18JMMZe_4pYbNldVSGfEBgRM80cai8i4g
",marina,"POLYGON ((347.5 1623, 351.5 1488, 1189 1071, 1185 1628, 347.5 1623))","POLYGON ((6278929 1839874.99999984, 6278933 1840277.99999986, 6281151 1840266.99999984, 6281156.999 1838723.99999984, 6278929 1839874.99999984))","[[2.657703971891786, -0.009505743728891979, 0.0], [0.013838389847931913, 2.7819834502648977, 0.0], [6277980.61841234, 1835752.471825955, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1AkLDfWHlGGEgf6phv395Vu7L0bojFra7
",east_village,"POLYGON ((267.5 1459.5, 267.5 1031.5, 1248.5 1030, 1247 1460.5, 267.5 1459.5))","POLYGON ((6282272 1839874.99999986, 6282274 1841025.99999984, 6284997.99899991 1841020.99999985, 6284995.00099991 1839861.99999983, 6282272 1839874.99999986))","[[2.7783735916088514, -0.008495586346446489, 0.0], [0.010693678098543134, 2.6907290932002264, 0.0], [6281516.467068247, 1837101.4697240053, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1AsnuDbGo2iMIObIuyYxYZVpXIEjCJEE3
",east_village_south,"POLYGON ((312 1647.5, 311 1085.5, 1249 1083.5, 1250 1645.5, 312 1647.5))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.898609081703398, -0.023095516011924316, 0.0], [0.0017672154479923196, 3.380070038091799, 0.0], [6281366.777086902, 1834321.2522801307, 0.9999999999999999]]"
"https://lh3.googleusercontent.com/d/1BQIizPxWp6T9eT1M4r72tk7K06QaeuIg
",gaslamp,"POLYGON ((967 1897.5, 963.5 1157.5, 1349.5 1158.5, 1347.5 1896, 967 1897.5))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.4545406096301827, -0.00032512269054488897, 0.0], [-0.0008141009285752367, 3.6318004099467087, 0.0], [6280031.272019657, 1834519.2549750183, 0.9999999999999997]]"
"https://lh3.googleusercontent.com/d/1BpjSv6GqvlpSZUwf61OojTfkFUigQKZ5
",east_village_south,"POLYGON ((318.5 1688.5, 320 1120, 1251.5 1120.5, 1251 1689, 318.5 1688.5))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.917260963074612, -0.03228123823836753, 0.0], [0.011977209985787747, 3.3413262574655067, 0.0], [6281323.953445191, 1834251.167980615, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1CGD6FY0x7v_PQbVS5qUDo6kXRITlfBip
",columbia,"POLYGON ((842.5 1720, 848 1280.5, 1283.5 1285.5, 1279 1720.5, 842.5 1720))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.8917386566159833, -0.027871734645273503, 0.0], [0.04240072240306711, 2.5772393569143546, 0.0], [6277286.982138604, 1838157.1235723875, 0.9999999999999997]]"
