image_url,x,y,width,height,neighborhood,intersection
"https://lh3.googleusercontent.com/d/1qiiyXIvi6xDh7hzl6iY1ggcpuT3TMx0X
",837,239,39,33,columbia,Ketner_A
"https://lh3.googleusercontent.com/d/1qiiyXIvi6xDh7hzl6iY1ggcpuT3TMx0X
",1268,240,42,33,columbia,State_A
"https://lh3.googleusercontent.com/d/1qiiyXIvi6xDh7hzl6iY1ggcpuT3TMx0X
",1268,675,41,49,columbia,State_Broadway
"https://lh3.googleusercontent.com/d/1qiiyXIvi6xDh7hzl6iY1ggcpuT3TMx0X
",834,674,42,49,columbia,Ketner_Broadway
"https://lh3.googleusercontent.com/d/16vvUoEgIYWHY_K_OAbOydalIMG3vCSlW
",838,240,39,32,columbia,Ketner_A
"https://lh3.googleusercontent.com/d/16vvUoEgIYWHY_K_OAbOydalIMG3vCSlW
",1270,242,42,32,columbia,State_A
"https://lh3.googleusercontent.com/d/16vvUoEgIYWHY_K_OAbOydalIMG3vCSlW
",1269,675,41,49,columbia,State_Broadway
"https://lh3.googleusercontent.com/d/16vvUoEgIYWHY_K_OAbOydalIMG3vCSlW
",835,674,42,49,columbia,Ketner_Broadway
"https://lh3.googleusercontent.com/d/1FfYLu5qxVLmwrKDf_rBn6-4pR2o5nWfL
",831,237,39,33,columbia,Ketner_A
"https://lh3.googleusercontent.com/d/1FfYLu5qxVLmwrKDf_rBn6-4pR2o5nWfL
",1263,237,42,33,columbia,State_A
"https://lh3.googleusercontent.com/d/1FfYLu5qxVLmwrKDf_rBn6-4pR2o5nWfL
",1265,674,41,49,columbia,State_Broadway
"https://lh3.googleusercontent.com/d/1FfYLu5qxVLmwrKDf_rBn6-4pR2o5nWfL
",829,674,42,49,columbia,Ketner_Broadway
"https://lh3.googleusercontent.com/d/1IAlTUUtPManzNHR2yHo-sdtfLwxFFpUn
",828,254,39,33,columbia,Ketner_A
"https://lh3.googleusercontent.com/d/1IAlTUUtPManzNHR2yHo-sdtfLwxFFpUn
",1248,252,42,33,columbia,State_A
