url,neighborhood,source,dest,matrix
"https://lh3.googleusercontent.com/d/1-ysbJbPmEuj5CNpn1dZ6L9TmFdnF4NIz
",core,"POLYGON ((401 1612.5, 401.5 1372.5, 1360.5 1366.5, 1362 1610, 401 1612.5))","POLYGON ((6280315 1841426.99999984, 6280318 1842176.99899985, 6283399.60100012 1842164.96199983, 6283395.99999989 1841402.99999985, 6280315 1841426.99999984))","[[3.2097155259561982, -0.004924594911112468, 0.0], [0.006926336442120373, 3.1271424691406082, 0.0], [6279018.265604082, 1837136.7150916639, 1.0]]"
"https://lh3.googleusercontent.com/d/14Knp4yfkFZjXoUYxnZ876q4FwSKsqivH
",east_village_south,"POLYGON ((304.5 1675, 302.5 1103, 1240.5 1100, 1242.5 1671, 304.5 1675))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.8985928579262334, -0.017899919056049547, 0.0], [-0.0033403239813196706, 3.323879471266764, 0.0], [6281397.025489559, 1834321.4877578528, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/15Eq3S_MqyaZ5D3ryLkA3dfoC0-PiM5oH
",cortez,"POLYGON ((534.5 1535, 535 1262.5, 1302 1266, 1301 1539, 534.5 1535))","POLYGON ((6280594 1842941.99999986, 6280598.99400006 1843695.21999986, 6282840 1843687.99999984, 6282836.99999987 1842925.99999983, 6280594 1842941.99999986))","[[2.9239230349775736, -0.02872803295472161, 0.0], [0.02269364665789908, 2.7776053207539917, 0.0], [6279001.186374645, 1839448.7974727238, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/15V74WH9d-rT3x_fVTMgZOmT7NlJ7BJyP
",gaslamp,"POLYGON ((1132.5 1881, 1131 1081.5, 1413.5 1077.5, 1412.5 1877, 1132.5 1881))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.9821418799241701, 0.044170982993559704, 0.0], [6.0710672187269665e-06, 3.355833591033843, 0.0], [6279190.713494919, 1835045.6811058237, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1AsnuDbGo2iMIObIuyYxYZVpXIEjCJEE3
",east_village_south,"POLYGON ((312 1647.5, 311 1085.5, 1249 1083.5, 1250 1645.5, 312 1647.5))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.898609081702616, -0.023095516012126876, 0.0], [0.001767215446307091, 3.380070038091617, 0.0], [6281366.777086907, 1834321.2522801305, 0.9999999999999997]]"
"https://lh3.googleusercontent.com/d/1CGD6FY0x7v_PQbVS5qUDo6kXRITlfBip
",columbia,"POLYGON ((842.5 1720, 848 1280.5, 1283.5 1285.5, 1279 1720.5, 842.5 1720))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.8917386566176155, -0.027871734645285823, 0.0], [0.04240072239826986, 2.577239356912969, 0.0], [6277286.98213861, 1838157.1235723894, 1.0000000000000004]]"
"https://lh3.googleusercontent.com/d/1EJsQTvQNzbBo2FqUkM9MGcAnHdTYuK11
",gaslamp,"POLYGON ((969.5 1853.5, 963 1125, 1344 1122.5, 1349 1850, 969.5 1853.5))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.4660348835715964, 0.02643532701258165, 0.0], [-0.010895189386246784, 3.685228987147184, 0.0], [6280033.673479531, 1834552.7314229433, 1.0]]"
"https://lh3.googleusercontent.com/d/1Gi3YJZOPu7LZnvNSAfJ7Kbwf97YLQfZ1
",cortez,"POLYGON ((544.5 1559, 541 1280.5, 1308 1284, 1311 1563, 544.5 1559))","POLYGON ((6280594 1842941.99999986, 6280598.99400006 1843695.21999986, 6282840 1843687.99999984, 6282836.99999987 1842925.99999983, 6280594 1842941.99999986))","[[2.924130637936276, -0.028437655930598108, 0.0], [-0.01975483315618476, 2.71822694241132, 0.0], [6279037.471977609, 1839474.8424469412, 1.0]]"
"https://lh3.googleusercontent.com/d/1HqqZnjWDNwumhQGbNJr-yEMhonAjHcKZ
",marina,"POLYGON ((337.5 1583, 338.5 1450, 1178 1038.5, 1177.5 1584.5, 337.5 1583))","POLYGON ((6278929 1839874.99999984, 6278933 1840277.99999986, 6281151 1840266.99999984, 6281156.999 1838723.99999984, 6278929 1839874.99999984))","[[2.6459197266308734, 0.0007835168892524483, 0.0], [-0.005290564119604824, 2.8374212677588275, 0.0], [6278044.704194847, 1835773.2925193722, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1IMphB5m-uYiLASOZFpJR5h21TDU7bpJg
",east_village_south,"POLYGON ((313.5 1679, 311.5 1103, 1251.5 1107, 1253.5 1683, 313.5 1679))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.89245205411703, -0.04427218173865909, 0.0], [-0.0032866665733308764, 3.298029184470579, 0.0], [6281372.78920206, 1834359.200195141, 1.0000000000000002]]"
