image_url,date,neighborhood,total_count,temp,rain,source_file
"https://lh3.googleusercontent.com/d/1RIwm98NHv7BrA7nhuBA1KrMjc0s-nQTN
",2018-03-28,Gaslamp,,59,2,count/Gaslamp_2018_count.json
"https://lh3.googleusercontent.com/d/15V74WH9d-rT3x_fVTMgZOmT7NlJ7BJyP
",2018-04-25,Gaslamp,,,2,count/Gaslamp_2018_count.json
"https://lh3.googleusercontent.com/d/1YNjyWVaPT3IwZb8rt5TulGI4QmhEY6kk
",2018-05-31,Gaslamp,,,2,count/Gaslamp_2018_count.json
"https://lh3.googleusercontent.com/d/1ww-h4T0uFknhkog1-TeTzby2J85S-ry1
",2018-06-28,Gaslamp,,63,2,count/Gaslamp_2018_count.json
"https://lh3.googleusercontent.com/d/1IgNlV29B1wRbaBGzvNm0mMQsh_3-3FSU
",2018-11-28,Gaslamp,,60,2,count/Gaslamp_2018_count.json
"https://lh3.googleusercontent.com/d/1hHFLfqPaU2ScLt6ZzVLhrxHyEUF3FJ8f
",2019-12-19,Columbia,,48,2,count/Columbia_2019_count.json
"https://lh3.googleusercontent.com/d/1QITVa7rYq4_QidV-KMJF5_zY_wr-DZnH
",2018-03-28,Core,,59,2,count/Core_2018_count.json
"https://lh3.googleusercontent.com/d/1ySDrBjxj1s6Dixy0JK6o77RMtJbtL9Od
",2018-04-25,Core,,,2,count/Core_2018_count.json
"https://lh3.googleusercontent.com/d/1-ysbJbPmEuj5CNpn1dZ6L9TmFdnF4NIz
",2018-05-03,Core,,63,2,count/Core_2018_count.json
"https://lh3.googleusercontent.com/d/1jZvHeOlPBRE_FfQ6AjK1V2ccwXvsfv8W
",2018-06-28,Core,,63,2,count/Core_2018_count.json
"https://lh3.googleusercontent.com/d/1gemf9rnasjTIU_qaf6Z7K10xH-u-vT5F
",2018-11-28,Core,,60,1,count/Core_2018_count.json
"https://lh3.googleusercontent.com/d/1HqqZnjWDNwumhQGbNJr-yEMhonAjHcKZ
",2019-12-19,Marina,,48,2,count/Marina_2019_count.json
"https://lh3.googleusercontent.com/d/1CGD6FY0x7v_PQbVS5qUDo6kXRITlfBip
",2018-03-28,Columbia,,,2,count/Columbia_2018_count.json
"https://lh3.googleusercontent.com/d/1NqBVws73kSdZ7v5yHwSY7H6WlwCMYvHd
",2018-04-25,Columbia,,,2,count/Columbia_2018_count.json
"https://lh3.googleusercontent.com/d/1M8Dx8QNjGE_wWTDXZZ6-LVSzEiyWh03N
",2018-05-31,Columbia,,,2,count/Columbia_2018_count.json
"https://lh3.googleusercontent.com/d/1bG6ClbDCiuxvZ6uQNYkqUB7T6ISqYrMt
",2018-06-28,Columbia,,,2,count/Columbia_2018_count.json
"https://lh3.googleusercontent.com/d/1cTE-5eLeKdGF6p1_jwKyAqn44D2_mqeI
",2018-11-28,Columbia,,,2,count/Columbia_2018_count.json
"https://lh3.googleusercontent.com/d/1PS4qAULh1b81YkQMXeTLR5kPQt62lXIE
",2019-12-19,Core,,4,2,count/Core_2019_count.json
"https://lh3.googleusercontent.com/d/1MYA2ZkXHtPwFYJ-3Nhiva229GC817O34
",2018-03-28,Marina,,59,2,count/Marina_2018_count.json
"https://lh3.googleusercontent.com/d/1gbqwnvmbHBcKqvvzuSzPu5ZksAnkICqw
",2018-04-25,Marina,,,2,count/Marina_2018_count.json
