image_url,x,y,width,height,neighborhood,intersection
"https://lh3.googleusercontent.com/d/1MYA2ZkXHtPwFYJ-3Nhiva229GC817O34
",318,541,25,40,marina,Ketner_Market
"https://lh3.googleusercontent.com/d/1MYA2ZkXHtPwFYJ-3Nhiva229GC817O34
",310,397,32,29,marina,Ketner_G
"https://lh3.googleusercontent.com/d/1MYA2ZkXHtPwFYJ-3Nhiva229GC817O34
",1154,935,26,33,marina,3rd_K
"https://lh3.googleusercontent.com/d/1MYA2ZkXHtPwFYJ-3Nhiva229GC817O34
",1154,397,29,22,marina,3rd_G
"https://lh3.googleusercontent.com/d/1gbqwnvmbHBcKqvvzuSzPu5ZksAnkICqw
",324,380,29,24,marina,Ketner_G
"https://lh3.googleusercontent.com/d/1gbqwnvmbHBcKqvvzuSzPu5ZksAnkICqw
",330,520,26,20,marina,Ketner_Market
"https://lh3.googleusercontent.com/d/1gbqwnvmbHBcKqvvzuSzPu5ZksAnkICqw
",1139,928,25,27,marina,3rd_K
"https://lh3.googleusercontent.com/d/1gbqwnvmbHBcKqvvzuSzPu5ZksAnkICqw
",1134,378,25,21,marina,3rd_G
"https://lh3.googleusercontent.com/d/1KzbCTsOuisC_2WSdf48NInSdeWSJTfoo
",317,368,32,29,marina,Ketner_G
"https://lh3.googleusercontent.com/d/1KzbCTsOuisC_2WSdf48NInSdeWSJTfoo
",323,507,24,33,marina,Ketner_G
"https://lh3.googleusercontent.com/d/1KzbCTsOuisC_2WSdf48NInSdeWSJTfoo
",1158,927,27,26,marina,3rd_K
"https://lh3.googleusercontent.com/d/1KzbCTsOuisC_2WSdf48NInSdeWSJTfoo
",1159,368,31,25,marina,3rd_G
"https://lh3.googleusercontent.com/d/1qC5Z82eQD9iYFJTpY7Xze2QSRNzF1qCx
",335,361,33,28,marina,Ketner_G
"https://lh3.googleusercontent.com/d/1qC5Z82eQD9iYFJTpY7Xze2QSRNzF1qCx
",340,499,24,38,marina,Ketner_Market
"https://lh3.googleusercontent.com/d/1qC5Z82eQD9iYFJTpY7Xze2QSRNzF1qCx
",1179,920,21,24,marina,3rd_K
"https://lh3.googleusercontent.com/d/1qC5Z82eQD9iYFJTpY7Xze2QSRNzF1qCx
",1180,356,29,25,marina,3rd_G
"https://lh3.googleusercontent.com/d/1cR6b8wAc4nqqpdywlY1iMd9Qum1USIs8
",340,374,27,24,marina,Ketner_G
"https://lh3.googleusercontent.com/d/1cR6b8wAc4nqqpdywlY1iMd9Qum1USIs8
",343,511,25,28,marina,Ketner_Market
"https://lh3.googleusercontent.com/d/1cR6b8wAc4nqqpdywlY1iMd9Qum1USIs8
",1183,911,27,34,marina,3rd_K
