image_url,x,y,width,height,neighborhood,intersection
"https://lh3.googleusercontent.com/d/1Suue-IcaoEmaN6tR3xHHiBzkHSTOFxQJ
",1287,427,24,22,cortez,9th_Cedar
"https://lh3.googleusercontent.com/d/1Suue-IcaoEmaN6tR3xHHiBzkHSTOFxQJ
",1287,704,21,25,cortez,9th_Ash
"https://lh3.googleusercontent.com/d/1Suue-IcaoEmaN6tR3xHHiBzkHSTOFxQJ
",524,424,25,25,cortez,1st_Cedar
"https://lh3.googleusercontent.com/d/1Suue-IcaoEmaN6tR3xHHiBzkHSTOFxQJ
",524,699,25,30,cortez,1st_Ash
"https://lh3.googleusercontent.com/d/1QCKvDcN6aLRzMLkHNJi2OoRiB9iQduqH
",1289,432,24,22,cortez,9th_Cedar
"https://lh3.googleusercontent.com/d/1QCKvDcN6aLRzMLkHNJi2OoRiB9iQduqH
",1290,708,21,25,cortez,9th_Ash
"https://lh3.googleusercontent.com/d/1QCKvDcN6aLRzMLkHNJi2OoRiB9iQduqH
",524,432,25,25,cortez,1st_Cedar
"https://lh3.googleusercontent.com/d/1QCKvDcN6aLRzMLkHNJi2OoRiB9iQduqH
",524,707,25,30,cortez,1st_Ash
"https://lh3.googleusercontent.com/d/10o34rbQnUz6khV8lVboTc-CTtbNO419t
",1284,425,24,22,cortez,9th_Cedar
"https://lh3.googleusercontent.com/d/10o34rbQnUz6khV8lVboTc-CTtbNO419t
",1286,703,21,25,cortez,9th_Ash
"https://lh3.googleusercontent.com/d/10o34rbQnUz6khV8lVboTc-CTtbNO419t
",524,424,25,25,cortez,1st_Cedar
"https://lh3.googleusercontent.com/d/10o34rbQnUz6khV8lVboTc-CTtbNO419t
",524,699,25,30,cortez,1st_Ash
"https://lh3.googleusercontent.com/d/1OncVFbC9mFukh5yoU1mEoaIclloG1Rm_
",1267,431,24,22,cortez,9th_Cedar
"https://lh3.googleusercontent.com/d/1OncVFbC9mFukh5yoU1mEoaIclloG1Rm_
",1271,699,21,25,cortez,9th_Ash
"https://lh3.googleusercontent.com/d/1OncVFbC9mFukh5yoU1mEoaIclloG1Rm_
",526,434,25,25,cortez,1st_Cedar
"https://lh3.googleusercontent.com/d/1OncVFbC9mFukh5yoU1mEoaIclloG1Rm_
",527,701,25,30,cortez,1st_Ash
"https://lh3.googleusercontent.com/d/1iyP19qRrGX_J66rXJwyEN9-2afqCyA4C
",1287,427,24,22,cortez,9th_Cedar
"https://lh3.googleusercontent.com/d/1iyP19qRrGX_J66rXJwyEN9-2afqCyA4C
",1287,704,21,25,cortez,9th_Ash
"https://lh3.googleusercontent.com/d/1iyP19qRrGX_J66rXJwyEN9-2afqCyA4C
",524,424,25,25,cortez,1st_Cedar
"https://lh3.googleusercontent.com/d/1iyP19qRrGX_J66rXJwyEN9-2afqCyA4C
",524,699,25,30,cortez,1st_Ash
"https://lh3.googleusercontent.com/d/1OjJqwjr6q5DOC6Ns69o3wS_mJfr8rbfU
",1284,420,24,22,cortez,9th_Cedar
"https://lh3.googleusercontent.com/d/1OjJqwjr6q5DOC6Ns69o3wS_mJfr8rbfU
",1285,697,19,25,cortez,9th_Ash
"https://lh3.googleusercontent.com/d/1OjJqwjr6q5DOC6Ns69o3wS_mJfr8rbfU
",523,420,25,25,cortez,1st_Cedar
"https://lh3.googleusercontent.com/d/1OjJqwjr6q5DOC6Ns69o3wS_mJfr8rbfU
",523,697,25,30,cortez,1st_Ash
"https://lh3.googleusercontent.com/d/1Me5qWwcmotfOBAWrQ9kvDHFm3bhUtKST
",1288,423,24,22,cortez,9th_Cedar
"https://lh3.googleusercontent.com/d/1Me5qWwcmotfOBAWrQ9kvDHFm3bhUtKST
",1288,702,21,25,cortez,9th_Ash
